Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,24 Apr 2017,0.13,0.14,0.13,0.13,45600
AAR.UN.TO,24 Apr 2017,6.56,6.59,6.54,6.55,1237737
AAV.TO,24 Apr 2017,8.75,8.78,8.7,8.7,511265
ABK.A.TO,24 Apr 2017,69,69,69,69,200
ABK.PR.C.TO,24 Apr 2017,32,32,32,32,0
ABT.TO,24 Apr 2017,7.75,7.9,7.75,7.86,34269
ABX.TO,24 Apr 2017,25.51,26.01,25.34,25.71,2774468
AC.TO,24 Apr 2017,13.1,13.38,13.1,13.28,1213162
ACD.TO,24 Apr 2017,8.84,8.84,8.81,8.81,1575
ACO.X.TO,24 Apr 2017,50.67,50.75,50.13,50.25,260335
ACO.Y.TO,24 Apr 2017,50.65,50.65,50.2,50.25,938
ACQ.TO,24 Apr 2017,23.22,23.37,22.9,23.21,37932
ACR.UN.TO,24 Apr 2017,11.64,11.74,11.5,11.7,30570
ACZ.UN.TO,24 Apr 2017,11.2,11.21,11.2,11.21,1900
AD.TO,24 Apr 2017,22.35,22.48,22.16,22.18,156618
ADC.UN.TO,24 Apr 2017,6.95,6.95,6.95,6.95,0
ADN.TO,24 Apr 2017,18.29,18.3,17.9,18,11994
ADW.A.TO,24 Apr 2017,11.27,11.27,11.11,11.17,29208
ADW.B.TO,24 Apr 2017,11.22,11.22,11.22,11.22,500
AEF.TO,24 Apr 2017,8.91,8.91,8.5,8.5,4800
AEF.WT.TO,24 Apr 2017,1.1,1.1,1.1,1.1,0
AEM.TO,24 Apr 2017,60.8,62.25,60.4,61.68,626445
AEZS.TO,24 Apr 2017,4.17,4.17,3.98,4.09,14133
AF.TO,24 Apr 2017,10.7,10.74,10.7,10.74,3300
AFN.TO,24 Apr 2017,49.97,50.74,49.97,50.5,89083
AFN.DB.A.TO,24 Apr 2017,103.99,104,103.75,103.75,115000
AFN.DB.B.TO,24 Apr 2017,103,104,103,104,39000
AFN.DB.C.TO,24 Apr 2017,105,105,105,105,0
AGF.B.TO,24 Apr 2017,6.68,6.92,6.67,6.87,154457
AGI.TO,24 Apr 2017,10.01,10.24,9.9,10.08,778135
AGI.WT.TO,24 Apr 2017,0.31,0.31,0.28,0.28,44222
AGI.WT.A.TO,24 Apr 2017,2.91,2.91,2.75,2.75,2850
AGT.TO,24 Apr 2017,29.76,29.91,29.4,29.64,37414
AGU.TO,24 Apr 2017,123.02,124.43,122.27,123.86,369039
AHY.UN.TO,24 Apr 2017,7.5,7.5,7.5,7.5,0
AI.TO,24 Apr 2017,12.14,12.18,12.05,12.18,37879
AI.DB.TO,24 Apr 2017,101,101,101,101,15000
AI.DB.A.TO,24 Apr 2017,102,102,102,102,12000
AI.DB.B.TO,24 Apr 2017,101.01,101.01,101,101,13000
AIF.TO,24 Apr 2017,31.7,32.18,31.6,32.08,124008
AIM.TO,24 Apr 2017,8.89,9,8.88,8.96,136704
AIM.PR.A.TO,24 Apr 2017,14.8,14.8,14.56,14.75,5680
AIM.PR.B.TO,24 Apr 2017,13.71,13.71,13.62,13.69,5899
AIM.PR.C.TO,24 Apr 2017,17.59,17.59,17.5,17.55,8568
AJX.TO,24 Apr 2017,0.58,0.58,0.57,0.58,57000
AKG.TO,24 Apr 2017,3.26,3.3,3.2,3.25,1298708
AKT.A.TO,24 Apr 2017,8.6,8.6,8.6,8.6,0
AKT.B.TO,24 Apr 2017,9.1,9.1,9.1,9.1,0
ALA.TO,24 Apr 2017,30.96,31.01,30.88,30.88,321045
ALA.PR.A.TO,24 Apr 2017,20.43,20.5,20.42,20.5,1600
ALA.PR.B.TO,24 Apr 2017,19.52,19.52,19.52,19.52,700
ALA.PR.E.TO,24 Apr 2017,23.99,24.2,23.95,24.2,24100
ALA.PR.G.TO,24 Apr 2017,23.15,23.2,23.15,23.2,30800
ALA.PR.I.TO,24 Apr 2017,26.01,26.08,26.01,26.08,1027
ALA.PR.K.TO,24 Apr 2017,26.09,26.15,26.09,26.15,6054
ALA.PR.U.TO,24 Apr 2017,24.5,24.56,24.4,24.5,13850
ALA.R.TO,24 Apr 2017,30.18,30.18,30,30.05,84200
ALB.TO,24 Apr 2017,24.35,24.35,24.35,24.35,0
ALB.PR.C.TO,24 Apr 2017,27.06,27.06,27.06,27.06,200
ALC.TO,24 Apr 2017,12.5,12.5,12.48,12.5,2350
ALS.TO,24 Apr 2017,11.53,11.58,11.5,11.5,34266
AMI.TO,24 Apr 2017,1.05,1.09,1.02,1.06,96150
AMM.TO,24 Apr 2017,2.02,2.13,2.01,2.12,39650
ANX.TO,24 Apr 2017,0.07,0.07,0.07,0.07,277100
AOG.UN.TO,24 Apr 2017,2.92,2.92,2.92,2.92,0
AOI.TO,24 Apr 2017,2.09,2.1,2.07,2.07,78075
AP.UN.TO,24 Apr 2017,37.59,37.6,37.18,37.19,129266
APH.TO,24 Apr 2017,6.7,6.89,6.63,6.66,1116643
APR.UN.TO,24 Apr 2017,11.4,11.4,11.26,11.34,30617
APS.TO,24 Apr 2017,1.2,1.2,1.12,1.16,64480
APY.TO,24 Apr 2017,1.71,1.71,1.7,1.7,560
